Date,Predicted_Price
2021-07-07,33672.73
2021-07-08,33660.27
2021-07-09,33629.906
2021-07-10,33586.535
2021-07-11,33533.977
2021-07-12,33475.14
2021-07-13,33412.215
2021-07-14,33346.742
2021-07-15,33279.855
2021-07-16,33212.316
2021-07-17,33144.652
2021-07-18,33077.2
2021-07-19,33010.19
2021-07-20,32943.74
2021-07-21,32877.94
2021-07-22,32812.82
2021-07-23,32748.414
2021-07-24,32684.72
2021-07-25,32621.725
2021-07-26,32559.428
2021-07-27,32497.818
2021-07-28,32436.895
2021-07-29,32376.645
2021-07-30,32317.059
2021-07-31,32258.11
2021-08-01,32199.803
2021-08-02,32142.107
2021-08-03,32085.049
2021-08-04,32028.584
2021-08-05,31972.732
2021-08-06,31917.475
2021-08-07,31862.805
2021-08-08,31808.709
2021-08-09,31755.178
2021-08-10,31702.201
2021-08-11,31649.775
2021-08-12,31597.896
2021-08-13,31546.557
2021-08-14,31495.736
2021-08-15,31445.428
2021-08-16,31395.648
2021-08-17,31346.367
2021-08-18,31297.592
2021-08-19,31249.314
2021-08-20,31201.523
2021-08-21,31154.213
2021-08-22,31107.375
2021-08-23,31061.014
2021-08-24,31015.096
2021-08-25,30969.64
2021-08-26,30924.637
2021-08-27,30880.066
2021-08-28,30835.938
2021-08-29,30792.23
2021-08-30,30748.959
2021-08-31,30706.096
2021-09-01,30663.66
2021-09-02,30621.62
2021-09-03,30579.99
2021-09-04,30538.766
2021-09-05,30497.916
2021-09-06,30457.475
2021-09-07,30417.412
2021-09-08,30377.73
2021-09-09,30338.41
2021-09-10,30299.473
2021-09-11,30260.895
2021-09-12,30222.676
2021-09-13,30184.812
2021-09-14,30147.307
2021-09-15,30110.139
2021-09-16,30073.326
2021-09-17,30036.844
2021-09-18,30000.695
2021-09-19,29964.877
2021-09-20,29929.39
2021-09-21,29894.225
2021-09-22,29859.38
2021-09-23,29824.85
2021-09-24,29790.63
2021-09-25,29756.72
2021-09-26,29723.113
2021-09-27,29689.81
2021-09-28,29656.8
2021-09-29,29624.088
2021-09-30,29591.666
2021-10-01,29559.531
2021-10-02,29527.674
2021-10-03,29496.104
2021-10-04,29464.809
2021-10-05,29433.793
2021-10-06,29403.037
2021-10-07,29372.562
2021-10-08,29342.35
2021-10-09,29312.396
2021-10-10,29282.705
2021-10-11,29253.27
2021-10-12,29224.086
2021-10-13,29195.154
2021-10-14,29166.469
2021-10-15,29138.035
2021-10-16,29109.836
2021-10-17,29081.887
2021-10-18,29054.164
2021-10-19,29026.688
2021-10-20,28999.434
2021-10-21,28972.416
2021-10-22,28945.63
2021-10-23,28919.06
2021-10-24,28892.715
2021-10-25,28866.592
2021-10-26,28840.686
2021-10-27,28815.0
2021-10-28,28789.523
2021-10-29,28764.26
2021-10-30,28739.201
2021-10-31,28714.36
2021-11-01,28689.713
2021-11-02,28665.27
2021-11-03,28641.033
2021-11-04,28616.992
2021-11-05,28593.148
2021-11-06,28569.496
2021-11-07,28546.04
2021-11-08,28522.773
2021-11-09,28499.697
2021-11-10,28476.807
2021-11-11,28454.102
2021-11-12,28431.574
2021-11-13,28409.232
2021-11-14,28387.074
2021-11-15,28365.088
2021-11-16,28343.277
2021-11-17,28321.645
2021-11-18,28300.184
2021-11-19,28278.89
2021-11-20,28257.773
2021-11-21,28236.814
2021-11-22,28216.027
2021-11-23,28195.406
2021-11-24,28174.95
2021-11-25,28154.64
2021-11-26,28134.504
2021-11-27,28114.518
2021-11-28,28094.693
2021-11-29,28075.025
2021-11-30,28055.502
2021-12-01,28036.139
2021-12-02,28016.928
2021-12-03,27997.857
2021-12-04,27978.945
2021-12-05,27960.168
2021-12-06,27941.547
2021-12-07,27923.06
2021-12-08,27904.719
2021-12-09,27886.523
2021-12-10,27868.46
2021-12-11,27850.547
2021-12-12,27832.76
2021-12-13,27815.107
2021-12-14,27797.596
2021-12-15,27780.219
2021-12-16,27762.969
2021-12-17,27745.855
2021-12-18,27728.867
2021-12-19,27712.01
2021-12-20,27695.281
2021-12-21,27678.668
2021-12-22,27662.191
2021-12-23,27645.836
2021-12-24,27629.602
2021-12-25,27613.498
2021-12-26,27597.508
2021-12-27,27581.635
2021-12-28,27565.88
2021-12-29,27550.244
2021-12-30,27534.727
2021-12-31,27519.328
2022-01-01,27504.043
2022-01-02,27488.867
